date,trend,ticker
2025-09-07,65,AMD
2025-09-14,64,AMD
2025-09-21,66,AMD
2025-09-28,69,AMD
2025-10-05,100,AMD
2025-10-12,77,AMD
2025-10-19,72,AMD
2025-10-26,71,AMD
2025-11-02,73,AMD
2025-11-09,77,AMD
2025-11-16,73,AMD
2025-11-23,80,AMD
2025-11-30,73,AMD
2025-12-07,65,AMD
2025-12-14,69,AMD
2025-12-21,60,AMD
2025-12-28,58,AMD
2026-01-04,59,AMD
2026-01-11,56,AMD
2026-01-18,61,AMD
2026-01-25,61,AMD
2026-02-01,65,AMD
2026-02-08,55,AMD
2026-02-15,54,AMD
2026-02-22,59,AMD
2026-03-01,58,AMD
2026-03-08,57,AMD
2026-03-15,56,AMD
2026-03-22,64,AMD
2026-03-29,71,AMD
2026-04-05,76,AMD
2026-04-12,75,AMD
2026-04-19,74,AMD
2026-04-26,52,AMD
2026-05-03,67,AMD
2026-05-10,54,AMD
2024-12-29,25,LLY
2025-01-05,26,LLY
2025-01-12,39,LLY
2025-01-19,30,LLY
2025-01-26,31,LLY
2025-02-02,39,LLY
2025-02-09,29,LLY
2025-02-16,26,LLY
2025-02-23,34,LLY
2025-03-02,33,LLY
2025-03-09,28,LLY
2025-03-16,26,LLY
2025-03-23,26,LLY
2025-03-30,32,LLY
2025-04-06,34,LLY
2025-04-13,35,LLY
2025-04-20,32,LLY
2025-04-27,41,LLY
2025-05-04,34,LLY
2025-05-11,42,LLY
2025-05-18,32,LLY
2025-05-25,29,LLY
2025-06-01,29,LLY
2025-06-08,31,LLY
2025-06-15,28,LLY
2025-06-22,29,LLY
2025-06-29,26,LLY
2025-07-06,28,LLY
2025-07-13,31,LLY
2025-07-20,31,LLY
2025-07-27,44,LLY
2025-08-03,100,LLY
2025-08-10,99,LLY
2025-08-17,68,LLY
2025-08-24,55,LLY
2025-08-31,44,LLY
2025-09-07,39,LLY
2025-09-14,45,LLY
2025-09-21,42,LLY
2025-09-28,52,LLY
2025-10-05,38,LLY
2025-10-12,40,LLY
2025-10-19,34,LLY
2025-10-26,44,LLY
2025-11-02,50,LLY
2025-11-09,51,LLY
2025-11-16,48,LLY
2025-11-23,42,LLY
2025-11-30,41,LLY
2025-12-07,40,LLY
2025-12-14,39,LLY
2025-12-21,34,LLY
2025-12-28,34,LLY
2026-01-04,45,LLY
2026-01-11,39,LLY
2026-01-18,36,LLY
2026-01-25,38,LLY
2026-02-01,50,LLY
2026-02-08,39,LLY
2026-02-15,33,LLY
2026-02-22,39,LLY
2026-03-01,38,LLY
2026-03-08,38,LLY
2026-03-15,40,LLY
2026-03-22,37,LLY
2026-03-29,39,LLY
2026-04-05,40,LLY
2026-04-12,40,LLY
2026-04-19,41,LLY
2026-04-26,44,LLY
2026-05-03,32,LLY
2026-05-10,15,LLY
2024-12-29,44,LAC
2025-01-05,38,LAC
2025-01-12,37,LAC
2025-01-19,35,LAC
2025-01-26,36,LAC
2025-02-02,36,LAC
2025-02-09,37,LAC
2025-02-16,38,LAC
2025-02-23,38,LAC
2025-03-02,42,LAC
2025-03-09,37,LAC
2025-03-16,39,LAC
2025-03-23,38,LAC
2025-03-30,42,LAC
2025-04-06,43,LAC
2025-04-13,42,LAC
2025-04-20,44,LAC
2025-04-27,53,LAC
2025-05-04,44,LAC
2025-05-11,49,LAC
2025-05-18,46,LAC
2025-05-25,58,LAC
2025-06-01,48,LAC
2025-06-08,55,LAC
2025-06-15,62,LAC
2025-06-22,64,LAC
2025-06-29,68,LAC
2025-07-06,66,LAC
2025-07-13,74,LAC
2025-07-20,70,LAC
2025-07-27,78,LAC
2025-08-03,91,LAC
2025-08-10,100,LAC
2025-08-17,73,LAC
2025-08-24,56,LAC
2025-08-31,49,LAC
2025-09-07,44,LAC
2025-09-14,43,LAC
2025-09-21,44,LAC
2025-09-28,43,LAC
2025-10-05,41,LAC
2025-10-12,42,LAC
2025-10-19,41,LAC
2025-10-26,39,LAC
2025-11-02,40,LAC
2025-11-09,37,LAC
2025-11-16,36,LAC
2025-11-23,35,LAC
2025-11-30,36,LAC
2025-12-07,35,LAC
2025-12-14,36,LAC
2025-12-21,38,LAC
2025-12-28,39,LAC
2026-01-04,40,LAC
2026-01-11,46,LAC
2026-01-18,43,LAC
2026-01-25,40,LAC
2026-02-01,44,LAC
2026-02-08,42,LAC
2026-02-15,42,LAC
2026-02-22,43,LAC
2026-03-01,45,LAC
2026-03-08,43,LAC
2026-03-15,43,LAC
2026-03-22,43,LAC
2026-03-29,45,LAC
2026-04-05,48,LAC
2026-04-12,49,LAC
2026-04-19,53,LAC
2026-04-26,45,LAC
2026-05-03,48,LAC
2026-05-10,58,LAC
