date,ticker,trend
2025-12-14 00:00:00,LLY,38
2025-12-21 00:00:00,LLY,34
2025-12-28 00:00:00,LLY,34
2026-01-04 00:00:00,LLY,42
2026-01-11 00:00:00,LLY,44
2026-01-18 00:00:00,LLY,39
2026-01-25 00:00:00,LLY,37
2026-02-01 00:00:00,LLY,49
2026-02-08 00:00:00,LLY,37
2026-02-15 00:00:00,LLY,35
2026-02-22 00:00:00,LLY,39
2026-03-01 00:00:00,LLY,38
2026-03-08 00:00:00,LLY,35
2026-03-15 00:00:00,LLY,42
2026-03-22 00:00:00,LLY,35
2026-03-29 00:00:00,LLY,42
2026-04-05 00:00:00,LLY,37
2026-04-12 00:00:00,LLY,37
2026-04-19 00:00:00,LLY,41
2026-04-26 00:00:00,LLY,49
2026-05-03 00:00:00,LLY,33
2026-05-10 00:00:00,LLY,32
2025-05-11 00:00:00,NVDA,53
2025-05-18 00:00:00,NVDA,37
2025-05-25 00:00:00,NVDA,60
2025-06-01 00:00:00,NVDA,38
2025-06-08 00:00:00,NVDA,35
2025-06-15 00:00:00,NVDA,28
2025-06-22 00:00:00,NVDA,40
2025-06-29 00:00:00,NVDA,30
2025-07-06 00:00:00,NVDA,40
2025-07-13 00:00:00,NVDA,48
2025-07-20 00:00:00,NVDA,39
2025-07-27 00:00:00,NVDA,48
2025-08-03 00:00:00,NVDA,55
2025-08-10 00:00:00,NVDA,70
2025-08-17 00:00:00,NVDA,67
2025-08-24 00:00:00,NVDA,100
2025-08-31 00:00:00,NVDA,51
2025-09-07 00:00:00,NVDA,53
2025-09-14 00:00:00,NVDA,54
2025-09-21 00:00:00,NVDA,50
2025-09-28 00:00:00,NVDA,50
2025-10-05 00:00:00,NVDA,48
2025-10-12 00:00:00,NVDA,44
2025-10-19 00:00:00,NVDA,38
2025-10-26 00:00:00,NVDA,60
2025-11-02 00:00:00,NVDA,55
2025-11-09 00:00:00,NVDA,54
2025-11-16 00:00:00,NVDA,98
2025-11-23 00:00:00,NVDA,48
2025-11-30 00:00:00,NVDA,42
2025-12-07 00:00:00,NVDA,41
2025-12-14 00:00:00,NVDA,38
2025-12-21 00:00:00,NVDA,31
2025-12-28 00:00:00,NVDA,28
2026-01-04 00:00:00,NVDA,35
2026-01-11 00:00:00,NVDA,32
2026-01-18 00:00:00,NVDA,30
2026-01-25 00:00:00,NVDA,34
2026-02-01 00:00:00,NVDA,39
2026-02-08 00:00:00,NVDA,35
2026-02-15 00:00:00,NVDA,29
2026-02-22 00:00:00,NVDA,62
2026-03-01 00:00:00,NVDA,41
2026-03-08 00:00:00,NVDA,35
2026-03-15 00:00:00,NVDA,48
2026-03-22 00:00:00,NVDA,35
2026-03-29 00:00:00,NVDA,35
2026-04-05 00:00:00,NVDA,33
2026-04-12 00:00:00,NVDA,40
2026-04-19 00:00:00,NVDA,35
2026-04-26 00:00:00,NVDA,40
2026-05-03 00:00:00,NVDA,32
2026-05-10 00:00:00,NVDA,36
